@W: CG1337 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\Actel\DirectCore\CORESPI\5.2.104\rtl\vlog\core\spi_chanctrl.v":805:7:805:17|Net resetn_rx_s is not declared.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":971:7:971:31|*Output MMUART0_RI_MGPIO21B_H2F_A has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":972:7:972:31|*Output MMUART0_RI_MGPIO21B_H2F_B has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":973:7:973:32|*Output MMUART0_RTS_MGPIO17B_H2F_A has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":974:7:974:32|*Output MMUART0_RTS_MGPIO17B_H2F_B has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":975:7:975:32|*Output MMUART0_RXD_MGPIO28B_H2F_A has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":976:7:976:32|*Output MMUART0_RXD_MGPIO28B_H2F_B has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":977:7:977:32|*Output MMUART0_SCK_MGPIO29B_H2F_A has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":978:7:978:32|*Output MMUART0_SCK_MGPIO29B_H2F_B has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":979:7:979:32|*Output MMUART0_TXD_MGPIO27B_H2F_A has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":980:7:980:32|*Output MMUART0_TXD_MGPIO27B_H2F_B has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":981:7:981:32|*Output MMUART1_DTR_MGPIO12B_H2F_A has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":982:7:982:32|*Output MMUART1_RTS_MGPIO11B_H2F_A has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":983:7:983:32|*Output MMUART1_RTS_MGPIO11B_H2F_B has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":984:7:984:32|*Output MMUART1_RXD_MGPIO26B_H2F_A has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":985:7:985:32|*Output MMUART1_RXD_MGPIO26B_H2F_B has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":986:7:986:32|*Output MMUART1_SCK_MGPIO25B_H2F_A has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":987:7:987:32|*Output MMUART1_SCK_MGPIO25B_H2F_B has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":988:7:988:32|*Output MMUART1_TXD_MGPIO24B_H2F_A has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":989:7:989:32|*Output MMUART1_TXD_MGPIO24B_H2F_B has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":990:7:990:15|*Output MPLL_LOCK has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":991:14:991:30|*Output PER2_FABRIC_PADDR has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":992:7:992:25|*Output PER2_FABRIC_PENABLE has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":993:7:993:22|*Output PER2_FABRIC_PSEL has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":994:14:994:31|*Output PER2_FABRIC_PWDATA has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":995:7:995:24|*Output PER2_FABRIC_PWRITE has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":996:7:996:15|*Output RTC_MATCH has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":997:7:997:15|*Output SLEEPDEEP has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":998:7:998:18|*Output SLEEPHOLDACK has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":999:7:999:14|*Output SLEEPING has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":1000:7:1000:18|*Output SMBALERT_NO0 has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":1001:7:1001:18|*Output SMBALERT_NO1 has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":1002:7:1002:16|*Output SMBSUS_NO0 has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":1003:7:1003:16|*Output SMBSUS_NO1 has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":1004:7:1004:18|*Output SPI0_CLK_OUT has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":1005:7:1005:28|*Output SPI0_SDI_MGPIO5A_H2F_A has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":1006:7:1006:28|*Output SPI0_SDI_MGPIO5A_H2F_B has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":1007:7:1007:28|*Output SPI0_SDO_MGPIO6A_H2F_A has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":1008:7:1008:28|*Output SPI0_SDO_MGPIO6A_H2F_B has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\work\MSS_C0_MSS\MSS_C0_MSS_syn.v":1009:7:1009:28|*Output SPI0_SS0_MGPIO7A_H2F_A has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL246 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\Actel\DirectCore\CORESPI\5.2.104\rtl\vlog\core\spi.v":70:12:70:16|Input port bits 1 to 0 of PADDR[6:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL190 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\Actel\DirectCore\CORESPI\5.2.104\rtl\vlog\core\spi_chanctrl.v":823:0:823:5|Optimizing register bit stxs_bitsel[4] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\Actel\DirectCore\CORESPI\5.2.104\rtl\vlog\core\spi_chanctrl.v":823:0:823:5|Pruning register bit 4 of stxs_bitsel[4:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL190 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\Actel\DirectCore\CORESPI\5.2.104\rtl\vlog\core\spi_chanctrl.v":823:0:823:5|Optimizing register bit stxs_bitsel[3] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\Actel\DirectCore\CORESPI\5.2.104\rtl\vlog\core\spi_chanctrl.v":823:0:823:5|Pruning register bit 3 of stxs_bitsel[3:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL177 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\Actel\DirectCore\CoreResetP\7.1.100\rtl\vlog\core\coreresetp.v":963:4:963:9|Sharing sequential element sdif0_spll_lock_q2. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\Actel\DirectCore\CoreResetP\7.1.100\rtl\vlog\core\coreresetp.v":963:4:963:9|Sharing sequential element sdif1_spll_lock_q2. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\howarth3-INS\Desktop\mbsat-fsw-libero\component\Actel\DirectCore\CoreResetP\7.1.100\rtl\vlog\core\coreresetp.v":963:4:963:9|Sharing sequential element sdif2_spll_lock_q2. Add a syn_preserve attribute to the element to prevent sharing.

